,,North Yorkshire,England
Winestead Drain,,North Yorkshire,England
Winksley,HG4,North Yorkshire,England
Winsley,,North Yorkshire,England
Winterburn,BD23,North Yorkshire,England
Winton,,North Yorkshire,England
Wintringham,YO17,North Yorkshire,England
Wiske,,North Yorkshire,England
Wistow,YO8,North Yorkshire,England
Withernsea,,North Yorkshire,England
Withernwick,,North Yorkshire,England
Wold Newton,YO25,North Yorkshire,England
Wombleton,,North Yorkshire,England
Womersley,DN6,North Yorkshire,England
Woodale,DL8,North Yorkshire,England
Woodhall,DL8,North Yorkshire,England
Woodlands,DN6,North Yorkshire,England
Woodmansey,,North Yorkshire,England
Woodthorpe,,North Yorkshire,England
Worton,,North Yorkshire,England
Wrelton,YO18,North Yorkshire,England
Wressle,YO8,North Yorkshire,England
Wydra,,North Yorkshire,England
Wykeham,YO13,North Yorkshire,England
Wyton,,North Yorkshire,England
Yafforth,DL7,North Yorkshire,England
Yapham,,North Yorkshire,England
Yearsley,,North Yorkshire,England
Yedingham,YO17,North Yorkshire,England
Yockenthwaite,BD23,North Yorkshire,England
Yokefleet,DN14,North Yorkshire,England
York,YO19,North Yorkshire,England
Youlthorpe,,North Yorkshire,England
Youlton,,North Yorkshire,England
